Название,Ссылка,Адрес места,Метро,Время до метро,Рейтинг,Отзывы,Подкатегории
Оздоровительный центр на Соколе,https://zoon.ru/msk/medical/ozdorovitelnyj_tsentr_na_sokole_na_metro_sokol/,"Балтийская улица, 15, 432 кабинет; 4 этаж, Москва",Сокол,9 мин.,5,37,"Расслабляющий массаж, Массаж спины, Лимфодренажный массаж, Медицинские центры, •, •, •"
Андреевские больницы - НЕБОЛИТ,https://zoon.ru/msk/medical/meditsinskij_tsentr_andreevskie_bolnitsy_-_nebolit_na_metro_volokolamskaya/,"Спасская улица, 1к3, Красногорск",Мякинино,13 мин.,4.8,141,"Фракционный фототермолиз, Инъекции коллагена, ЭКГ на дому, Медицинские центры, •, •, •, •, Лицензия ЛО41-01137-77/00368334"
WeiDent,https://zoon.ru/msk/medical/stomatologicheskaya_klinika_weident_na_ulitse_akademika_oparina_na_metro_belyaevo/,"улица Академика Опарина, 4 к1, Москва",Беляево,21 мин.,5,290,"Стоматология под микроскопом, Базальная имплантация, Плазмолифтинг, Медицинские центры, •, •, •, •, Лицензия ЛО-77-01-017474"
Клиника на Потаповскомъ,https://zoon.ru/msk/medical/klinika_na_potapovskom_na_metro_chistye_prudy/,"Потаповский переулок, 10, вход со двора, Москва",Чистые пруды,9 мин.,4.9,156,"Фракционный фототермолиз, Онкологический диспансер, Специализированная клиника, Медицинские центры, •, •, •"
Юсуповская больница,https://zoon.ru/msk/medical/yusupovskaya_bolnitsa_na_nagornoj_ulitse/,"Нагорная улица, 17 корпус 6, Москва",Нагорная,8 мин.,4.8,477,"Онкологический диспансер, Перевозка больных, Вызов медсестры на дом, Медицинские центры, •, •, •, •, Лицензия ЛО-77-01-019798"
Мед-Дент,https://zoon.ru/msk/medical/stomatologicheskaya_klinika_med-dent/,"улица Кирова, 7к1, Домодедово",Нет данных,Нет данных,4.9,539,"Стоматология под микроскопом, Стоматологический кабинет, Стоматологическая поликлиника, Медицинские центры, •, •, •"
Счастливый Доктор,https://zoon.ru/msk/medical/meditsinskij_tsentr_schastlivyj_doktor_v_yuzhnom_butovo/,"улица Адмирала Лазарева, 43, Москва",Бунинская аллея,7 мин.,4.9,497,"Базальная имплантация, ЭКГ на дому, Прессотерапия, Медицинские центры, •, •, •, •, Лицензия ЛО-77-01-013008"
Doctor Hit Smile,https://zoon.ru/msk/medical/stomatologicheskaya_klinika_doctor_hit_smile_v_otradnom/,"Москва, Юрловский проезд, 11, вход со двора, Отрадное",Отрадное,18 мин.,4.9,351,"Эндодонтия, Ортодонтия, Неотложная помощь в стоматологии, Медицинские центры, •, •, •, •, Лицензия ЛО-77-01-007982"
ANIDENT,https://zoon.ru/msk/medical/stomatologiya_anident_na_metro_izmajlovskaya/,"улица Первомайская, 4, Москва",Измайловская,10 мин.,5,131,"Стоматология под микроскопом, Ортодонтия, Хирургическая стоматология, Медицинские центры, •, •, •"
Клиника доктора Севака ESTETUS,https://zoon.ru/msk/medical/klinika_doktora_sevaka_estetus_na_metro_belorusskaya/,"1-я Брестская улица, 43, Москва",Белорусская,8 мин.,4.7,115,"Эндодонтия, Ортодонтия, Детская психология, Медицинские центры, •, •, •, •, Лицензия ЛО41-01137-77/00361593"
Доктор Ди,https://zoon.ru/msk/medical/tsentr_esteticheskoj_stomatologii_i_implantologii_doktor_di_v_tts_gorki-10/,"Одинцовский район, 24А, 2 этаж, посёлок Горки-10",Нет данных,Нет данных,5,399,"Базальная имплантация, ЭКГ на дому, Вызов медсестры на дом, Медицинские центры, •, •, •, •, Лицензия ЛО-50-01-005902"
StomTime,https://zoon.ru/msk/medical/stomatologicheskij_tsentr_stomtime_na_metro_nahimovskij_prospekt/,"Симферопольский бульвар, 4а, Стоматология возле метро Нахимовский проспект, Москва",Нахимовский проспект,4 мин.,5,264,"Базальная имплантация, Стоматологический кабинет, Эндодонтия, Медицинские центры, •, •, •, •, Лицензия ЛО-77-01-015169"
Дента,https://zoon.ru/msk/medical/stomatologicheskaya_klinika_denta_na_ulitse_paliha_v_tverskom_rajone/,"улица Палиха, 13/1с1, этаж 2, Москва",Менделеевская,5 мин.,4.9,116,"Стоматология под микроскопом, Базальная имплантация, Стоматологический кабинет, Медицинские центры, •, •, •"
Реюньон,https://zoon.ru/msk/medical/stomatologicheskaya_klinika_reyunon/,"Кантемировская улица, 5, корп. 4, 1 этаж, Москва",Кантемировская,18 мин.,4.9,94,"Базальная имплантация, Эндодонтия, Ортодонтия, Медицинские центры, •, •, •"
Клиника Здоровья,https://zoon.ru/msk/medical/kliniko-diagnosticheskij_tsentr_klinika_zdorovya_na_marosejke/,"улица Маросейка, 2/15с1, Москва",Китай-город,2 мин.,4.7,445,"Многопрофильная клиника, Программы комплексного обследования, КТ ребенку, Медицинские центры, •, •, •, •, Лицензия ЛО41-01137-77/00347995"
Клиника Доктора Назимовой,https://zoon.ru/msk/medical/klinika_doktora_nazimovoj_na_prospekte_vernadskogo/,"проспект Вернадского, 127, 1 этаж, Москва",Тропарёво,14 мин.,4.9,325,"Фракционный фототермолиз, Специализированная клиника, Rf-лифтинг, Медицинские центры, •, •, •"
Инвиво,https://zoon.ru/msk/medical/meditsinskij_tsentr_invivo_v_domodedovo_na_kommunisticheskoj_ulitse/,"1-я Коммунистическая улица, 31, помещение, 01, 03, Домодедово",Нет данных,Нет данных,4.9,907,"Специализированная клиника, Плазмолифтинг волос, Лазерная эпиляция лица, Медицинские центры, •, •, •, •, Лицензия ЛО-50-01-010805"
Royal Dent,https://zoon.ru/msk/medical/stomatologiya_royal_dent_na_ulitse_kamova_5_k_2_v_lyubertsakh/,"улица Камова, 5к2, Люберцы",Некрасовка,26 мин.,5,140,"Стоматология под микроскопом, Базальная имплантация, Ортодонтия, Медицинские центры, •, •, •, •, Лицензия ЛО-50-01-012229"
Центр психического здоровья Synaps доктора Марии Максимовой,https://zoon.ru/msk/medical/tsentr_psihicheskogo_zdorovya_synaps_doktora_marii_maksimovoj/,"Садовая-Самотёчная улица, 18, стр. 1, Москва",Цветной бульвар,3 мин.,5,92,"Индивидуальная психотерапия, Психологические центры, Детская психотерапия, Медицинские центры, •, •, •"
Эльбрус,https://zoon.ru/msk/medical/meditsinskij_tsentr_elbrus_v_podolske/,"Рязановское шоссе, 21, Подольск",Нет данных,Нет данных,5,391,"Rf-лифтинг, Массаж стоп, Шугаринг глубокого бикини, Медицинские центры, •, •, •"
Dr. Malkov Implant Clinic,https://zoon.ru/msk/medical/stomatologiya_dr_malkov_implant_clinic_v_salarevo/,"Москва, поселение Московский, Саларьевская улица, 16к3, Саларьево",Саларьево,17 мин.,5,222,"Эндодонтия, Ортодонтия, Хирургическая стоматология, (МЦ) медицинские центры, •, •, •, •, Лицензия ЛО-77-01-021741"
Центр семейной стоматологии на Советской улице в Электростали,https://zoon.ru/msk/medical/tsentr_semejnoj_stomatologii_na_sovetskoj_ulitse_v_elektrostali/,"Советская улица, 17А, офис 01, 02, Электросталь",Нет данных,Нет данных,5,634,"Базальная имплантация, Эндодонтия, Ортодонтия, Частная поликлиника, •, •, •, •, Лицензия ЛО-50-01-010902"
МираДент,https://zoon.ru/msk/medical/stomatologicheskaya_klinika_miradent/,"улица Тёплый Стан, 7, 1 этаж, Москва",Тёплый стан,12 мин.,4.9,75,"Стоматология под микроскопом, Плазмолифтинг, Лифтинг лица, Медклиника, •, •, •"
Во все 32,https://zoon.ru/msk/medical/stomatologicheskaya_klinika_vo_vse_32/,"Москва, улица Авиаконструктора Петлякова, 13к1, 1 этаж, ООО «СТАЛЬ-ДЕНТ», поселение Внуковское",Пыхтино,6 мин.,4.9,314,"Базальная имплантация, Стоматологический кабинет, Эндодонтия, Частная клиника, •, •, •, •, Лицензия ЛО-77-01-014667"
Центр традиционного акушерства и семейной медицины,https://zoon.ru/msk/medical/tsentr_traditsionnogo_akusherstva_i_semejnoj_meditsiny_na_metro_polyanka/,"район Якиманка, 119180, улица Большая Якиманка, 26, 1 этаж, Москва",Полянка,5 мин.,4.9,143,"Специализированная клиника, Оформление справки в лагерь, Массаж стоп, Мед центр, •, •, •, •, Лицензия ЛО-77-01-020353"
Эталон-Клиник,https://zoon.ru/msk/medical/stomatologicheskaya_klinika_etalon-klinik_v_zelenograde/,"Москва, к1006Б, 2 этаж, Зеленоград",Нет данных,Нет данных,4.9,114,"Эндодонтия, Ортодонтия, Неотложная помощь в стоматологии, Мед центр, •, •, •"
Белла Вита Дент,https://zoon.ru/msk/medical/stomatologicheskaya_klinika_bella_vita_dent_na_aviamotornoj_ulitse/,"Авиамоторная улица, 4, корп. 1, Метро: Лефортово, Авиамоторная, Москва",Лефортово,10 мин.,4.9,115,"Стоматология под микроскопом, Эндодонтия, Ортодонтия, Мед центр, •, •, •, •, Лицензия ЛО-77-01-017387"
Добрый Крокодил,https://zoon.ru/msk/medical/tsentr_stomatologii_dlya_detej_i_vzroslyh_dobryj_krokodil/,"Перовская улица, 16, 1 этаж, Москва",Шоссе Энтузиастов,21 мин.,4.8,150,"Стоматология под микроскопом, Эндодонтия, Ортодонтия, Медцентр, •, •, •, •, Лицензия ЛО-77-01-017314"
MARI SHARMEL,https://zoon.ru/msk/medical/salon_krasoty_mari_sharmel_na_ulitse_ostrovityanova/,"улица Островитянова, 4, 1 этаж, Москва",Тропарёво,14 мин.,4.8,110,"Фракционный фототермолиз, Rf-лифтинг, Безынъекционная мезотерапия, Медцентр, •, •, •"
Центр традиционного акушерства и семейной медицины,https://zoon.ru/msk/medical/tsentr_traditsionnogo_akusherstva_i_semejnoj_meditsiny_na_metro_oktyabrskoe_pole/,"улица Маршала Соколовского, 4, Москва",Октябрьское поле,4 мин.,4.9,32,"Специализированная клиника, Оформление справки в лагерь, Массаж стоп, Медцентр, •, •, •, •, Лицензия ЛО-77-01-020353"
Dr.Kurov,https://zoon.ru/msk/medical/stomatologicheskaya_klinika_drkurov_na_hodynskom_bulvare/,"Ходынский бульвар, 2, Москва",ЦСКА,6 мин.,4.9,206,"Стоматология под микроскопом, Базальная имплантация, Эндодонтия, Медицинские центры, •, •, •, •, Лицензия ЛО-77-01-018386"
Beauty Slim Clinic,https://zoon.ru/msk/medical/klinika_apparatnoj_i_inektsionnoj_kosmetologii_beauty_slim_clinic_na_ulitse_dmitrievskogo/,"улица Дмитриевского, 1, вход со стороны станции метро Улица Дмитриевского, этаж 1, Москва",Улица Дмитриевского,1 мин.,4.9,24,"Фракционный фототермолиз, Специализированная клиника, Микронидлинг, Медицинские центры, •, •, •"
СпаркоДент,https://zoon.ru/msk/medical/stomatologiya_sparkodent_na_metro_domodedovskaya/,"Каширское шоссе, 122, Москва",Домодедовская,8 мин.,4.7,290,"Эндодонтия, Ортодонтия, Неотложная помощь в стоматологии, Медицинские центры, •, •, •"
КОММУНАРКА,https://zoon.ru/msk/medical/stomatologiya_kommunarka/,"Москва, посёлок улица Липовый Парк, 11, Вход со стороны ул. Александры Монаховой, Коммунарка",Коммунарка,18 мин.,4.9,281,"Стоматология под микроскопом, Базальная имплантация, Стоматологический кабинет, Медицинские центры, •, •, •, •, Лицензия ЛО-77-01-014886"
Дантистъ,https://zoon.ru/msk/medical/stomatologiya_dantist_v_zelenograde/,"Москва, к2016, Зеленоград",Нет данных,Нет данных,4.9,377,"Стоматология под микроскопом, Эндодонтия, Ортодонтия, Медицинские центры, •, •, •, •, Лицензия ЛО-77-01-014996"
